offeringService,shopCode,address_si,address_gu,address,shopName,latitude,longitude,count_address_gu
"['cafe25', 'drug', 'post', 'withdrawal']",VN574,수원시,장안구,"경기 수원시 장안구 정조로946번길8, 1층 (영화동 297-1, 명민빌딩)",GS25수원방글점,127.01250666,37.29201147,74
"['toto', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VE563,수원시,팔달구,경기 수원시 팔달구 경수대로466번길9 (인계동 1019-11),GS25수원백성점,127.0278425,37.26767389,77
['drug'],VEQ46,수원시,장안구,"경기 수원시 장안구 덕영대로535번길34, 106,107호(천천동 524-2)",GS25수원베스트점,126.98217643,37.29724212,74
"['cafe25', 'instant', 'drug', 'post', 'withdrawal', 'self_cook']",VJ343,수원시,팔달구,경기 수원시 팔달구 고화로108번길1(고등동 3-19),GS25수원병무청점,127.00682485,37.27895225,77
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VI016,수원시,팔달구,"경기 수원시 팔달구 중부대로143번길11, 103호 (우만1동 561-13)",GS25수원본점,127.03197167,37.27891727,77
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal']",VEA23,수원시,장안구,경기 수원시 장안구 정조로921번길27 (영화동 331-2),GS25수원북문점,127.01186668,37.28920375,74
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V2R33,수원시,영통구,경기 수원시 영통구 신원로66(신동 498-6),GS25수원삼성로점,127.04865359,37.24811804,101
"['post', 'withdrawal']",V8S45,수원시,영통구,"경기 수원시 영통구 효원로397, 104호 (매탄3동 1267-7, 중앙프라자)",GS25수원삼성점,127.04513423,37.25903799,101
"['drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VG182,수원시,권선구,경기 수원시 권선구 세지로94(권선동 978-8),GS25수원삼익점,127.01862738,37.26013684,100
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal']",V4U32,수원시,권선구,경기 수원시 권선구 여기산로16 (서둔동 260-29),GS25수원서둔점,126.97870407,37.27876704,100
"['cafe25', 'drug', 'post', 'withdrawal']",VE556,수원시,권선구,경기 수원시 권선구 구운로63번길51 (구운동 952-1),GS25수원서부점,126.96982524,37.27908658,100
"['toto', 'cafe25', 'instant', 'drug', 'post', 'withdrawal', 'delivery_service']",V3R85,수원시,권선구,"경기 수원시 권선구 효원로266번길14,  101호(권선동 1013-21)",GS25수원선일점,127.03022584,37.26117856,100
