행정구역(구동)별(1),행정구역(구동)별(2),합계,합계,합계,0∼4세,0∼4세,0∼4세,5∼9세,5∼9세,5∼9세,10∼14세,10∼14세,10∼14세,15∼19세,15∼19세,15∼19세,20∼24세,20∼24세,20∼24세,25∼29세,25∼29세,25∼29세,30∼34세,30∼34세,30∼34세,35∼39세,35∼39세,35∼39세,40∼44세,40∼44세,40∼44세,45∼49세,45∼49세,45∼49세,50∼54세,50∼54세,50∼54세,55∼59세,55∼59세,55∼59세,60∼64세,60∼64세,60∼64세,65∼69세,65∼69세,65∼69세,70∼74 세,70∼74 세,70∼74 세,75∼79세,75∼79세,75∼79세,80∼84세,80∼84세,80∼84세,85세이상,85세이상,85세이상
행정구역(구동)별(1),행정구역(구동)별(2),계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
영통구,매탄3동,35982,18656,17326,960,487,473,1657,874,783,2057,1065,992,2185,1099,1086,2822,1482,1340,3583,2074,1509,2839,1687,1152,2613,1373,1240,3175,1574,1601,3447,1734,1713,3360,1721,1639,2380,1221,1159,1891,962,929,1110,527,583,753,366,387,464,204,260,367,130,237,319,76,243
영통구,매탄4동,21431,10479,10952,539,293,246,660,360,300,917,468,449,1195,598,597,1658,874,784,1969,1038,931,1691,930,761,1436,747,689,1612,761,851,1926,869,1057,2042,961,1081,1709,804,905,1546,728,818,937,437,500,593,267,326,435,169,266,323,120,203,243,55,188
영통구,원천동,38806,19645,19161,1547,801,746,2528,1298,1230,2095,1072,1023,1635,873,762,2713,1373,1340,3772,1940,1832,3345,1771,1574,3646,1783,1863,3950,2007,1943,3332,1802,1530,2711,1380,1331,2207,1160,1047,1944,926,1018,1355,646,709,778,366,412,558,230,328,385,145,240,305,72,233
영통구,광교1동,53025,25928,27097,1925,990,935,3296,1760,1536,3642,1869,1773,3186,1595,1591,3602,1640,1962,4748,2097,2651,4757,2308,2449,4681,2160,2521,5469,2588,2881,5072,2480,2592,4449,2281,2168,3069,1613,1456,2188,1200,988,1183,591,592,704,349,355,474,203,271,332,135,197,248,69,179
영통구,광교2동,29337,14124,15213,1461,759,702,1805,913,892,1734,888,846,1414,722,692,1489,806,683,1599,732,867,2176,966,1210,2989,1474,1515,3221,1614,1607,2565,1229,1336,2346,1082,1264,1948,927,1021,1695,786,909,1157,519,638,695,323,372,474,205,269,302,111,191,267,68,199
영통구,영통1동,34785,17108,17677,1323,671,652,1899,975,924,2344,1214,1130,2285,1172,1113,2346,1243,1103,2398,1186,1212,2683,1321,1362,2632,1311,1321,3186,1484,1702,3528,1680,1848,3248,1575,1673,2517,1261,1256,1805,945,860,880,412,468,553,238,315,493,184,309,376,143,233,289,93,196
영통구,영통2동,26188,13855,12333,1313,694,619,1074,542,532,1058,554,504,1031,523,508,1666,828,838,3681,2139,1542,3961,2264,1697,2696,1511,1185,2198,1153,1045,1992,982,1010,1894,972,922,1330,661,669,912,486,426,448,199,249,304,138,166,270,91,179,226,78,148,134,40,94
영통구,영통3동,32527,16629,15898,923,452,471,1477,767,710,2080,1086,994,2101,1107,994,3299,1634,1665,3263,1872,1391,2317,1278,1039,1957,1006,951,2673,1240,1433,3205,1531,1674,3105,1586,1519,2334,1186,1148,1644,923,721,806,435,371,445,195,250,355,149,206,282,106,176,261,76,185
영통구,망포1동,31076,15662,15414,1377,721,656,1899,954,945,2031,1046,985,1927,954,973,2190,1176,1014,2224,1222,1002,2242,1116,1126,2579,1265,1314,2853,1411,1442,2870,1409,1461,2917,1413,1504,2241,1151,1090,1629,897,732,840,433,407,441,209,232,361,145,216,259,85,174,196,55,141
영통구,망포2동,27872,13922,13950,1668,883,785,2485,1293,1192,1879,980,899,1436,746,690,1622,824,798,1536,737,799,2132,967,1165,3028,1473,1555,3354,1669,1685,2441,1239,1202,2136,1072,1064,1581,796,785,1127,584,543,606,310,296,312,154,158,234,104,130,161,59,102,134,32,102
